"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AON6224A","Full Production","DFN5x6-8L","Single","N","100","20","34","56.50","11.60","15.10","32.50","15.50","1.50","2","2.50","2305","180","11.50","5",,,"29.50","160","Industrial","No","150"
"AON6226","Full Production","DFN5x6-8L","Single","N","100","20","48","108","7.90","10.20","42","18.50","1.30","1.75","2.30","3130","245","12.50","4.50","12","53","30","150","Industrial","No","150"
"AON6230","Full Production","DFN5x6-8L","Single","N","40","20","85","104","1.44","2.10","81","35","1.20","1.75","2.30","6050","1640","105","13","12","59","28","98","Industrial","No","150"
"AON6234","Full Production","DFN5x6-8L","Single","N","40","20","85","83","3.40","5","33.50","15","1.40","1.90","2.40","2335","612","45","4.50","8","26","17.50","47.50","Industrial","No","150"
"AON6236","Full Production","DFN5x6-8L","Single","N","40","20","30","39","7","10.50","18.50","8.20","1.40","1.85","2.40","1225","318","26.50","2.50","6","23.50","14","32.50","Industrial","No","150"
"AON6240","Full Production","DFN5x6-8L","Single","N","40","20","85","83","1.60","2.40","72.80","31","1.30","1.90","2.40","5458","1395","103","10.80","14.80","61.30","23.90","84.60","Industrial","No","150"
"AON6242","Full Production","DFN5x6-8L","Single","N","60","20","85","83","3.60","4.50","60","23","1.50","2","2.50","5305","540","22","3","13","47","24.50","125","Industrial","No","150"
"AON6250","Full Production","DFN5x6-8L","Single","N","150","20","52","104","16.50",,"30.50",,"2.40","2.85","3.40","2388","213","9.50","4.50","11","23","68","560","Industrial","No","150"
"AON6260","Full Production","DFN5x6-8L","Single","N","60","20","85","104","2.40","3.50","81","37","1.50","2","2.50","5578","1390","75","12","13.50","50","30","130","Industrial","No","150"
"AON6262E","Full Production","DFN5x6-8L","Single","N","60","20","40","48","6.20","8.50","30","15","1.20","1.65","2.20","1650","520","52","6.50","13.50","50","19","60","Industrial","Yes","150"
"AON6264C","Full Production","DFN5x6-8L","Single","N","60","20","24","26","13.20","17.70","15","7.30","1.20","1.70","2.20","895","220","20","3.40","4.50","25","17","59","Industrial","Yes","150"
"AON6264E","Full Production","DFN5x6-8L","Single","N","60","20","28","37.50","9.50","13.30","14.50","7","1.40","1.80","2.40","1100","300","28","3.50",,,"19","65","Industrial","Yes","150"
"AON6266E","Full Production","DFN5x6-8L","Single","N","60","20","24","26","13.20","17.70","13.50","6.50","1.20","1.70","2.20","755","220","20","3",,,"17","54","Industrial","No","150"
"AON6276","Full Production","DFN5x6-8L","Single","N","80","20","100","215","2.60",,"68",,"2.10","2.60","3.20","4940","770","40","14",,,"32","168","Industrial","No","150"
"AON6278","Full Production","DFN5x6-8L","Single","N","80","20","85","208","3.30",,"61.50",,"2.30","2.75","3.30","4646","632","31","9.50","13","36","32","174","Industrial","No","150"
"AON6280","Full Production","DFN5x6-8L","Single","N","80","20","85","83","4.10",,"58",,"2","2.60","3.20","3930","592","66","14","13","32","36","153","Industrial","No","150"
"AON6282","Full Production","DFN5x6-8L","Single","N","80","20","85","83","5.60",,"36.50",,"2.30","2.95","3.50","2848","392","22.50","6","11","25","30","126","Industrial","No","150"
"AON6284","Full Production","DFN5x6-8L","Single","N","80","20","78","78","7.10",,"28",,"2.30","2.80","3.30","2162","300","16","4.50","9","23","26","118","Industrial","No","150"
"AON6284A","Full Production","DFN5x6-8L","Single","N","80","20","48","56","6.50","8.50","36","16.50","1.30","1.70","2.30","2540","310","18.50","6","9","23","23","91","Industrial","No","150"
"AON6290","Full Production","DFN5x6-8L","Single","N","100","20","85","208","4.60",,"63","28.50","2.20","2.80","3.40","4600","415","27","10","14.50","37","40","230","Industrial","No","150"
"AON6292","Full Production","DFN5x6-8L","Single","N","100","20","85","156","6",,"45","15.50","2.20","2.80","3.40","3830","327","16.50","7","13","26","19","225","Industrial","No","150"
"AON6294","Full Production","DFN5x6-8L","Single","N","100","20","52","57","10",,"28",,"2.40","2.95","3.50","2265","195","10","4","10.50","20","35","195","Industrial","No","150"
