Product or Part number,VDS (V),PDF data sheet,HTML data sheet,VGS (V),Type,Configuration,Rds(on) at VGS=10 V (max) (mΩ),Rds(on) at VGS=4.5 V (max) (mΩ),ID - silicon limited at TC=25°C (A),ID - continuous drain current at TA=25°C (A),Power loss (W),Ploss current (A),Features,Operating temperature range (°C),Package type,Pin count,Package area (mm^2),Package size (L x W) (mm),Price|Quantity (USD),Status
"=HYPERLINK(""https://www.ti.com/product/CSD17578Q5A"", ""CSD17578Q5A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17578Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17578Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,6.9,9.3,59,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.151,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17579Q5A"", ""CSD17579Q5A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17579Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17579Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,9.7,13.3,46,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.136,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19534KCS"", ""CSD19534KCS"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19534KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19534KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,16.5,,54,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.418,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87501L"", ""CSD87501L"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87501L"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87501L/datasheet"", ""HTML data sheet"")",20,N-channel,Dual Common Drain,3.9,5.5,14,,,,,-55 to 150,PICOSTAR,10,4.9539,3.37 x 1.47,0.255,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD85301Q2"", ""CSD85301Q2"")",20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD85301Q2"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD85301Q2/datasheet"", ""HTML data sheet"")",10,N-channel,Dual,,27,5,,,,,-55 to 150,WSON,6,4,2 x 2,0.114,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD13383F4"", ""CSD13383F4"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD13383F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD13383F4/datasheet"", ""HTML data sheet"")",10,N-channel,Single,,44,2.9,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.051,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD23203W"", ""CSD23203W"")",-8,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD23203W"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD23203W/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,19.4,3,,,,,-55 to 150,DSBGA,6,2.1875,1.75 x 1.25,0.101,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD83325L"", ""CSD83325L"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD83325L"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD83325L/datasheet"", ""HTML data sheet"")",10,N-channel,Dual Common Drain,,5.9,8,,,,,-55 to 150,PICOSTAR,6,2.3976,2.16 x 1.11,0.14,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17578Q3A"", ""CSD17578Q3A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17578Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17578Q3A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,7.3,9.4,54,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.132,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17579Q3A"", ""CSD17579Q3A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17579Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17579Q3A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,10.2,14.2,39,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.115,ACTIVE
