part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
MS-521090-2,MS,521,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,4.807e-05,1.349,0,1000.0,50.0,323.0,50.0,51.5,45.4
MS-521125-2,MS,521,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,3.798e-05,1.548,0,1000.0,50.0,276.0,40.0,46.6,39.7
MS-600014-2,MS,600,14,1e+06,2.035e+08,3.969e+06,3.473e-14,0.01,1.065e-06,1.553,0,300.0,100.0,168.0,200.0,71.5,65.4
MS-600026-2,MS,600,26,1e+06,3.991e+08,2.565e+06,3.32e-14,0.01,4.158e-06,1.508,0,500.0,100.0,379.0,200.0,44.9,38.2
MS-600040-2,MS,600,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-600060-2,MS,600,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-600075-2,MS,600,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-600090-2,MS,600,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,4.807e-05,1.349,0,1000.0,50.0,323.0,50.0,51.5,45.4
MS-601014-2,MS,601,14,1e+06,2.035e+08,3.969e+06,3.473e-14,0.01,1.065e-06,1.553,0,300.0,100.0,168.0,200.0,71.5,65.4
MS-601026-2,MS,601,26,1e+06,3.991e+08,2.565e+06,3.32e-14,0.01,4.158e-06,1.508,0,500.0,100.0,379.0,200.0,44.9,38.2
MS-601040-2,MS,601,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-601060-2,MS,601,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-601075-2,MS,601,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-601090-2,MS,601,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,4.807e-05,1.349,0,1000.0,50.0,323.0,50.0,51.5,45.4
MS-650014-2,MS,650,14,1e+06,2.035e+08,3.969e+06,3.473e-14,0.01,1.065e-06,1.553,0,300.0,100.0,168.0,200.0,71.5,65.4
MS-650026-2,MS,650,26,1e+06,3.991e+08,2.565e+06,3.32e-14,0.01,4.158e-06,1.508,0,500.0,100.0,379.0,200.0,44.9,38.2
