,,,,,%Perm vs. DC Sat. Coef.,,,,Core Loss Coefficients,,,,%Perm. vs. AC Flux Density Coefficients,,,,,,Perm vs. Frequency Coefficients,,,,B vs H Coefficients,,,,,,T expressed in Celsius,,,
Material,PartType,Init. Perm. (µ),Bsat(G),Density(g/cm³),a,b,c,d,a,b,c,d,a,b,c,d,e,f,a,b,c,d,a,b,c,d,e,a,b,c,d,e
FS,EQ,60,17642,6.3,1.000E-02,1.713E-06,1.664E+00,0.000E+00,1.000E+06,6.136E+08,6.143E+04,2.667E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,5.84E-02,2.07E-04,-1.32E-03
FS,PQ,26,16766,5.5,1.000E-02,2.030E-06,1.413E+00,0.000E+00,1.000E+06,1.685E+08,1.469E+06,1.553E-14,9.117E+02,4.895E-01,1.127E+00,1.706E+11,-2.218E+00,1.123E+02,3.846E-02,1.025E-10,1.078E+00,0.000E+00,1.371E-02,1.720E+00,9.255E+01,6.327E-01,6.449E+02,-0.4431086,-1.10E-02,3.83E-02,2.07E-04,-8.67E-04
FS,PQ,40,17294,5.7,1.000E-02,4.036E-06,1.451E+00,0.000E+00,1.000E+06,2.948E+08,1.018E+06,1.762E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,4.324E+02,-0.5405795,-1.10E-02,4.67E-02,2.07E-04,-1.06E-03
FS,PQ,60,17642,6.3,1.000E-02,2.564E-06,1.665E+00,0.000E+00,1.000E+06,5.109E+08,5.968E+05,2.184E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,5.84E-02,2.07E-04,-1.32E-03
FS,T,14,15315,5.5,1.000E-02,2.600E-07,1.557E+00,0.000E+00,1.000E+06,6.131E+07,2.047E+06,6.095E-14,1.668E+03,2.284E-01,1.451E+00,1.607E+15,-3.264E+00,1.064E+02,7.143E-02,1.025E-10,1.078E+00,0.000E+00,4.225E-03,1.879E+00,3.992E+02,3.453E-01,1.094E+03,-0.3655654,-1.10E-02,3.16E-02,2.07E-04,-7.15E-04
FS,T(OD=5.22-7.75 in),14,15315,5.5,1.000E-02,5.273E-07,1.418E+00,0.000E+00,1.000E+06,2.165E+08,3.644E+06,4.961E-14,1.668E+03,2.284E-01,1.451E+00,1.607E+15,-3.264E+00,1.064E+02,7.143E-02,1.025E-10,1.078E+00,0.000E+00,4.225E-03,1.879E+00,3.992E+02,3.453E-01,1.094E+03,-0.3655654,-1.10E-02,3.16E-02,2.07E-04,-7.15E-04
FS,T,26,16766,6.3,1.000E-02,9.210E-08,1.912E+00,0.000E+00,1.000E+06,1.812E+08,3.251E+06,6.158E-14,9.117E+02,4.895E-01,1.127E+00,1.706E+11,-2.218E+00,1.123E+02,3.846E-02,1.025E-10,1.078E+00,0.000E+00,1.371E-02,1.720E+00,9.255E+01,6.327E-01,6.449E+02,-0.4431086,-0.0110363,3.83E-02,2.07E-04,-8.67E-04
FS,T(OD=5.22-7.75 in),26,16370,6.1,1.000E-02,7.876E-07,1.562E+00,0.000E+00,3.903E+07,3.722E+08,2.806E+06,6.252E-14,9.117E+02,4.895E-01,1.127E+00,1.706E+11,-2.218E+00,1.123E+02,3.846E-02,1.025E-10,1.078E+00,0.000E+00,1.371E-02,1.720E+00,9.255E+01,6.327E-01,6.296E+02,-0.4431086,-1.10E-02,3.83E-02,2.07E-04,-8.67E-04
FS,T,40,17294,6.6,1.000E-02,6.314E-08,2.151E+00,0.000E+00,1.000E+06,3.071E+08,3.524E+06,5.634E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,4.324E+02,-0.5405795,-1.10E-02,4.67E-02,2.07E-04,-1.06E-03
FS,T,60,17642,6.8,1.000E-02,1.949E-07,2.099E+00,0.000E+00,1.000E+06,3.903E+08,3.785E+06,5.229E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,0.0583701,2.07E-04,-1.32E-03
FS,T(OD=4.00-4.00 in),60,17642,6.8,1.000E-02,3.842E-07,2.008E+00,0.000E+00,1.000E+06,3.903E+08,3.785E+06,5.229E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,0.0583701,2.07E-04,-1.32E-03
FS,T(OD=5.22-7.75 in),60,17642,6.8,1.000E-02,3.374E-06,1.620E+00,0.000E+00,7.643E+08,4.515E+08,1.118E+06,4.367E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,0.0583701,2.07E-04,-1.32E-03
FS,T,75,17815,6.9,1.000E-02,3.486E-06,1.682E+00,0.000E+00,1.883E+08,5.098E+08,1.162E+06,5.024E-14,5.730E+02,3.605E-01,1.070E+00,1.294E+10,-1.944E+00,1.211E+02,1.333E-02,1.025E-10,1.078E+00,0.000E+00,4.727E-02,1.691E+00,3.412E+01,6.063E-01,2.375E+02,-0.7754406,-1.10E-02,6.70E-02,2.07E-04,-1.52E-03
FS,T,90,17815,6.9,1.000E-02,9.719E-07,1.995E+00,0.000E+00,4.222E+08,6.073E+08,2.905E+06,4.589E-14,5.183E+02,3.410E-01,1.054E+00,3.300E+09,-1.782E+00,1.239E+02,1.111E-02,1.025E-10,1.078E+00,0.000E+00,5.279E-02,1.672E+00,3.402E+01,6.576E-01,1.979E+02,-0.8751419,-1.10E-02,7.56E-02,2.07E-04,-1.71E-03
MS,B,14,7884,4.9,1.000E-02,8.730E-07,1.563E+00,0.000E+00,1.000E+06,2.016E+08,3.290E+06,6.180E-14,3.000E+02,5.905E-01,2.738E-01,3.576E+08,-1.544E+00,1.500E+02,7.143E-02,3.017E-11,1.170E+00,0.000E+00,7.276E-04,2.222E+00,2.003E+09,1.000E-08,5.631E+02,-0.5095918,-5.55E-03,4.21E-02,1.83E-04,-8.53E-04
MS,B,26,8086,5.1,1.000E-02,1.530E-06,1.655E+00,0.000E+00,1.000E+06,3.278E+08,6.445E+06,3.010E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.110E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
MS,B,40,8463,5.5,1.000E-02,2.542E-06,1.680E+00,0.000E+00,1.000E+06,6.961E+08,5.397E+06,4.127E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.116E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
MS,B,60,8801,5.8,1.000E-02,4.475E-06,1.743E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,3.017E-11,1.170E+00,0.000E+00,8.848E-03,1.991E+00,2.003E+09,1.000E-08,1.467E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,B,75,8850,5.8,1.000E-02,1.216E-05,1.597E+00,0.000E+00,1.000E+06,1.561E+09,7.144E+06,2.268E-14,1.825E+03,5.854E-01,1.349E+00,3.314E+09,-1.894E+00,1.058E+02,1.333E-02,3.017E-11,1.170E+00,0.000E+00,2.048E-02,1.850E+00,2.003E+09,1.000E-08,1.180E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,B,90,8923,5.9,1.000E-02,1.954E-05,1.584E+00,0.000E+00,3.797E+09,1.376E+09,2.894E+06,2.204E-14,1.825E+03,5.854E-01,1.349E+00,3.314E+09,-1.894E+00,1.058E+02,1.111E-02,3.017E-11,1.170E+00,0.000E+00,2.048E-02,1.850E+00,2.003E+09,1.000E-08,9.914E+01,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,B,125,9000,5.9,1.000E-02,3.153E-05,1.618E+00,0.000E+00,1.032E+09,2.221E+09,1.000E+03,1.960E-14,1.825E+03,5.854E-01,1.349E+00,3.314E+09,-1.894E+00,1.058E+02,8.000E-03,3.017E-11,1.170E+00,0.000E+00,2.048E-02,1.850E+00,2.003E+09,1.000E-08,7.200E+01,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,E,14,7884,4.7,1.000E-02,5.743E-07,1.732E+00,0.000E+00,1.000E+06,2.840E+08,5.379E+06,1.420E-14,3.000E+02,5.905E-01,2.738E-01,3.576E+08,-1.544E+00,1.500E+02,7.143E-02,3.017E-11,1.170E+00,0.000E+00,7.276E-04,2.222E+00,2.003E+09,1.000E-08,5.631E+02,-0.5095918,-5.55E-03,4.21E-02,1.83E-04,-8.53E-04
MS,E,26,8086,4.9,1.000E-02,1.530E-06,1.655E+00,0.000E+00,1.000E+06,4.969E+08,3.993E+06,2.867E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.110E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
MS,E,40,8463,5.2,1.000E-02,2.542E-06,1.680E+00,0.000E+00,1.000E+06,6.802E+08,8.069E+06,2.158E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.116E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
MS,E,60,8801,5.5,1.000E-02,4.475E-06,1.743E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,1.667E-02,3.017E-11,1.170E+00,0.000E+00,8.848E-03,1.991E+00,2.003E+09,1.000E-08,1.467E+02,-0.9409393,-5.55E-03,7.79E-02,1.83E-04,-1.58E-03
MS,E,75,8872,5.6,1.000E-02,3.414E-06,1.841E+00,0.000E+00,7.890E+09,7.111E+08,8.980E+06,2.846E-14,1.901E+03,5.824E-01,1.265E+00,2.650E+09,-1.850E+00,1.056E+02,1.333E-02,3.017E-11,1.170E+00,0.000E+00,1.374E-02,1.927E+00,2.003E+09,1.000E-08,1.183E+02,-1.079766,-5.55E-03,8.94E-02,1.83E-04,-1.81E-03
MS,E,90,8923,5.6,1.000E-02,1.258E-05,1.701E+00,0.000E+00,1.457E+09,8.281E+08,4.625E+06,1.092E-14,1.825E+03,5.854E-01,1.349E+00,3.314E+09,-1.894E+00,1.058E+02,1.111E-02,3.017E-11,1.170E+00,0.000E+00,2.048E-02,1.850E+00,2.003E+09,1.000E-08,9.914E+01,-1.21859,-5.55E-03,1.01E-01,1.83E-04,-2.05E-03
MS,EQ,26,8086,4.9,1.000E-02,1.183E-06,1.629E+00,0.000E+00,1.000E+06,3.330E+08,8.554E+06,1.285E-14,7.559E+03,6.715E-01,1.571E+00,3.182E+09,-1.794E+00,1.013E+02,3.846E-02,3.017E-11,1.170E+00,0.000E+00,1.922E-03,2.181E+00,2.003E+09,1.000E-08,3.110E+02,-0.6170095,-5.55E-03,5.11E-02,1.83E-04,-1.04E-03
MS,EQ,40,8288,5.1,1.000E-02,1.581E-06,1.763E+00,0.000E+00,1.000E+06,4.962E+08,8.098E+06,8.549E-15,1.977E+03,5.791E-01,1.178E+00,2.180E+09,-1.813E+00,1.053E+02,2.500E-02,3.017E-11,1.170E+00,0.000E+00,3.883E-03,2.123E+00,2.003E+09,1.000E-08,2.072E+02,-0.7526241,-5.55E-03,6.23E-02,1.83E-04,-1.26E-03
