"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","Vgs (V)","Vgs(th) Max (V)","ID Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"NVMFWS2D3P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","2.2","20","-2.4","-222","205","~NA~","3.3","73.5","157","5985","~NA~","536","4228","88","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","2.2131 ",
"NVMFS3D0P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","2.7","20","-2.4","-183","171","~NA~","4.2","58.7","124","3225","~NA~","246","3225","85.8","SO-8FL / DFN-5 ","1 ","260 ","1.0922 ",
"NVMFWS3D0P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","2.7","20","-2.4","-183","171","~NA~","4.2","58.7","124","3225","~NA~","246","3225","85.8","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","1.6883 ",
"NVMFWS3D6N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","3.6","±20","2.2","131","136","~NA~","5.8","29","60","4411","~NA~","183","1808","29","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","1.5071 ",
"NVMFS3D6N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","3.6","±20","2.2","131","136","~NA~","5.8","29","60","4411","~NA~","183","1808","29","SO-8FL / DFN-5 ","1 ","260 ","1.3968 ",
"NVMFS4C01NWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","0.67","20","2.2","299","161","-","0.96","14","139","10144","13","147","5073","148","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","1.8708 ",
"NVMFS4C01NT1G","Active, Not Rec","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","0.67","20","2.2","299","161","-","0.96","14","139","10144","13","147","5073","148","SO-8FL / DFN-5 ","1 ","260 ","2.0424 ",
"NVMFS4C01NT3G","Active, Not Rec","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","0.67","20","2.2","299","161","-","0.96","14","139","10144","13","147","5073","148","SO-8FL / DFN-5 ","1 ","260 ","2.78 ",
"NVMFS4C303NWFET1G","Active","H Pb A P ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.0 ",
"NVMFS4C03NWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","1.7","20","2.2","134","77","-","2.4","-","45.2","3071","4.7","39","1673","67","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.7783 ",
"NVMFS4C03NT1G","Active, Not Rec","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","1.7","20","2.2","134","77","-","2.4","-","45.2","3071","4.7","39","1673","67","SO-8FL / DFN-5 ","1 ","260 ","0.8064 ",
"NVMFS4C05NWFET1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.0 ",
"NVMFS4C305NET1G-YE","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SO-8FL / DFN-5 ","1 ","260 ","0.0 ",
"NVMFS4C05NWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","2.8","20","2.2","116","79","-","4","-","30","1972","5.9","30.2","1215","59","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.6442 ",
"NVMFS4C05NT3G","Active, Not Rec","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","30","2.8","20","2.2","116","79","-","4","-","30","1972","5.9","30.2","1215","59","SO-8FL / DFN-5 ","1 ","260 ","0.9735 ",
