"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","Id Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"FDP047N10","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","4.7","±20","4.5","164","375","-","-","-","160","11500","36","245","1120","455","TO-220-3 ","NA ","0 ","1.955 ",
"FDP050AN06A0","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","60","5","±20","4","80","245","-","-","-","61","3900","15","25","750","270","TO-220-3 ","NA ","0 ","1.2956 ",
"FDP053N08B-F102","Active","H Pb   ","N-Channel","PowerTrench® T6","TO-220","Small Signal","Standard","0","Single","0","80","5.3","±20","4.5","120","146","-","-","-","65.4","4480","15.3","62.5","740","20.5","TO-220-3 ","NA ","0 ","0.8051 ",
"FDP054N10","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","5.5","±20","4.5","144","263","-","-","-","156","9985","48","121","935","390","TO-220-3 ","NA ","0 ","2.2165 ",
"FDP060AN08A0","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","75","6","±20","4","80","255","-","-","-","73","5150","16","38","800","230","TO-220-3 ","NA ","0 ","1.4137 ",
"FDP070AN06A0","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","60","7","±20","4","80","175","-","-","-","51","3000","16","35","510","230","TO-220-3 ","NA ","0 ","1.0741 ",
"FDP075N15A-F102","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","150","7.5","±20","4","130","333","-","-","-","77","5525","16","264","516","21","TO-220-3 ","NA ","0 ","3.0137 ",
"FDP083N15A-F102","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","150","8.3","±20","4","117","294","-","-","-","64.5","4645","13.5","268","1445","100","TO-220-3 ","NA ","0 ","2.0821 ",
"FDP085N10A-F102","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","8.5","±20","4","96","188","-","-","-","31","2025","7.5","80","468","20","TO-220-3 ","NA ","0 ","1.0746 ",
"FDP090N10","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","9","±20","4.5","75","208","-","-","-","89","6185","22","166","585","235","TO-220-3 ","NA ","0 ","1.4888 ",
