Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
IRLL024Z,https://www.infineon.com/part/IRLL024Z,,,,,,Standard,55 V,,Trench Mosfet,,60 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irll024z-datasheet-en.pdf,,,100 mΩ,,,
IRLML0100TRPBF-1,https://www.infineon.com/part/IRLML0100TRPBF-1,,,,,,Standard,100 V,1.6 A,IR MOSFET™,1.75 V,220 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/irlml0100pbf-1.pdf,1 V,2.5 V,235 mΩ,2.5 nC,,
IRLML2402GPBF,https://www.infineon.com/part/IRLML2402GPBF,,,,,,Standard,20 V,1.2 A,IR MOSFET™,,,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlml2402gpbf-datasheet-en.pdf,0.7 V,,250 mΩ,2.6 nC,,
IRLML2502GPBF,https://www.infineon.com/part/IRLML2502GPBF,,,,,,Standard,20 V,4.2 A,IR MOSFET™,0.9 V,,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlml2502gpbf-datasheet-en.pdf,0.6 V,1.2 V,45 mΩ,8 nC,,
IRLML2803GPBF,https://www.infineon.com/part/IRLML2803GPBF,,,,,,Standard,30 V,1.2 A,IR MOSFET™,,250 mΩ,3.3 nC,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlml2803gpbf-datasheet-en.pdf,1 V,,400 mΩ,,,
IRLMS1503PBF-1,https://www.infineon.com/part/IRLMS1503PBF-1,,,,,,Standard,30 V,3.2 A,IR MOSFET™,,100 mΩ,6.4 nC,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irlms1503pbf-1.pdf,1 V,,200 mΩ,,,
IRLMS1902,https://www.infineon.com/part/IRLMS1902,,,,,,Standard,20 V,3.2 A,IR MOSFET™,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlms1902-datasheet-en.pdf,0.7 V,,100 mΩ,4.7 nC,,
IRLR3715Z,https://www.infineon.com/part/IRLR3715Z,,,,,,Non-Automotive,20 V,,Trench Mosfet,,11 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlr3715z-datasheet-en.pdf,,,15.5 mΩ,,,
IRLR3802,https://www.infineon.com/part/IRLR3802,,,,,,Standard,12 V,84 A,IR MOSFET™,1.25 V,,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irlr3802pbf.pdf,0.6 V,1.9 V,8.5 mΩ,27 nC,,
IRLR7807Z,https://www.infineon.com/part/IRLR7807Z,,,,,,Standard,30 V,43 A,IR MOSFET™,1.8 V,13.8 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlr7807z-datasheet-en.pdf,1.35 V,2.25 V,18.2 mΩ,7 nC,,
