Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,Polarity,Datasheet link,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
IPD50R380CE,https://www.infineon.com/part/IPD50R380CE,https://www.infineon.com/package/PG-TO252-3-344,active,IPD50R380CEAUMA1,PG-TO252-3,DPAK,Standard,500 V,9.9 A,CoolMOS™ CE,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd50r380ce-ds-en.pdf,3 V,2.5 V,3.5 V,380 mΩ,24.8 nC,0.34 ,,,,
IPZ65R045C7,https://www.infineon.com/part/IPZ65R045C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ65R045C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,650 V,46 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz65r045c7-ds-en.pdf,3.5 V,3 V,4 V,45 mΩ,93 nC,5.56 ,,,,
IPA60R380P6,https://www.infineon.com/part/IPA60R380P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R380P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,6.5 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r380p6-datasheet-en.pdf,4 V,3.5 V,4.5 V,380 mΩ,19 nC,0.54 ,,,,
IPA60R280P6,https://www.infineon.com/part/IPA60R280P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R280P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,7.7 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r280p6-ds-en.pdf,4 V,3.5 V,4.5 V,280 mΩ,25.5 nC,0.69 ,,,,
IPW60R190P6,https://www.infineon.com/part/IPW60R190P6,https://www.infineon.com/package/PG-TO247-3-41,active,IPW60R190P6FKSA1,PG-TO247-3,TO247,Industrial,600 V,20.2 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r190p6-ds-en.pdf,4 V,3.5 V,4.5 V,190 mΩ,37 nC,1.23 ,,,,
IPW60R070P6,https://www.infineon.com/part/IPW60R070P6,https://www.infineon.com/package/PG-TO247-3-44,active,IPW60R070P6XKSA1,PG-TO247-3,TO247,Industrial,600 V,53.5 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r070p6-ds-en.pdf,4 V,3.5 V,4.5 V,70 mΩ,100 nC,2.48 ,,,,
IPP50R280CE,https://www.infineon.com/part/IPP50R280CE,https://www.infineon.com/package/PG-TO220-3-1,active,IPP50R280CEXKSA1,PG-TO220-3,TO220,Standard,500 V,13 A,CoolMOS™ CE,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw50r280ce-ds-en.pdf,3 V,2.5 V,3.5 V,280 mΩ,32.6 nC,0.39 ,,,,
IPA65R150CFD,https://www.infineon.com/part/IPA65R150CFD,https://www.infineon.com/package/PG-TO220-3-313,active,IPA65R150CFDXKSA2,PG-TO220-3,TO220 FullPAK,Industrial,650 V,22.4 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r150cfd-ds-en.pdf,4 V,3.5 V,4.5 V,150 mΩ,86 nC,1.41 ,,,,
IPD50R280CE,https://www.infineon.com/part/IPD50R280CE,https://www.infineon.com/package/PG-TO252-3-344,active,IPD50R280CEAUMA1,PG-TO252-3,DPAK,Standard,500 V,13 A,CoolMOS™ CE,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd50r280ce-ds-en.pdf,3 V,2.5 V,3.5 V,280 mΩ,32.6 nC,0.45 ,,,,
IPD60R380P6,https://www.infineon.com/part/IPD60R380P6,https://www.infineon.com/package/PG-TO252-3-313,active,IPD60R380P6ATMA1,PG-TO252-3,DPAK,Industrial,600 V,10.6 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r380p6-datasheet-en.pdf,4 V,3.5 V,4.5 V,380 mΩ,19 nC,0.47 ,,,,
IPP60R160P6,https://www.infineon.com/part/IPP60R160P6,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R160P6XKSA1,PG-TO220-3,TO220,Industrial,600 V,23.8 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r160p6-ds-en.pdf,4 V,3.5 V,4.5 V,160 mΩ,44 nC,1.06 ,,,,
IPA60R230P6,https://www.infineon.com/part/IPA60R230P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R230P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,8.6 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r230p6-ds-en.pdf,4 V,3.5 V,4.5 V,230 mΩ,31 nC,0.78 ,,,,
IPZ65R065C7,https://www.infineon.com/part/IPZ65R065C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ65R065C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,650 V,33 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz65r065c7-ds-en.pdf,3.5 V,3 V,4 V,65 mΩ,65 nC,3.92 ,,,,
IPP60R125P6,https://www.infineon.com/part/IPP60R125P6,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R125P6XKSA1,PG-TO220-3,TO220,Industrial,600 V,30 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r125p6-ds-en.pdf,4 V,3.5 V,4.5 V,125 mΩ,56 nC,1.58 ,,,,
SPW32N50C3,https://www.infineon.com/part/SPW32N50C3,https://www.infineon.com/package/PG-TO247-3-21,active,SPW32N50C3FKSA1,PG-TO247-3,TO247,Industrial,500 V,32 A,CoolMOS™ C3,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spw32n50c3-ds-en.pdf,,2.1 V,3.9 V,,170 nC,3.74 ,,,,
IPW65R190CFD,https://www.infineon.com/part/IPW65R190CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R190CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,17.5 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,4 V,3.5 V,4.5 V,190 mΩ,68 nC,1.39 ,,,,
IPB65R045C7,https://www.infineon.com/part/IPB65R045C7,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R045C7ATMA2,PG-TO263-3,D2PAK,Industrial,650 V,46 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb65r045c7-ds-en.pdf,3.5 V,3 V,4 V,45 mΩ,93 nC,4.68 ,,,,
IPA60R160P6,https://www.infineon.com/part/IPA60R160P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R160P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,10.4 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r160p6-ds-en.pdf,4 V,3.5 V,4.5 V,160 mΩ,44 nC,1.06 ,,,,
IPW60R041P6,https://www.infineon.com/part/IPW60R041P6,https://www.infineon.com/package/PG-TO247-3-44,active,IPW60R041P6FKSA1,PG-TO247-3,TO247,Industrial,600 V,77.5 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r041p6-ds-en.pdf,4 V,3.5 V,4.5 V,41 mΩ,170 nC,4.43 ,,,,
IPW60R125P6,https://www.infineon.com/part/IPW60R125P6,https://www.infineon.com/package/PG-TO247-3-44,active,IPW60R125P6XKSA1,PG-TO247-3,TO247,Industrial,600 V,30 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r125p6-ds-en.pdf,4 V,3.5 V,4.5 V,125 mΩ,56 nC,1.76 ,,,,
IPL60R180P6,https://www.infineon.com/part/IPL60R180P6,https://www.infineon.com/package/PG-VSON-4-1,active,IPL60R180P6AUMA1,PG-VSON-4,Thin-PAK 8x8,Industrial,600 V,22.4 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipl60r180p6-ds-en.pdf,4 V,3.5 V,4.5 V,180 mΩ,44 nC,1.2 ,,,,
IPZ60R040C7,https://www.infineon.com/part/IPZ60R040C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ60R040C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,600 V,50 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz60r040c7-ds-en.pdf,3.5 V,3 V,4 V,40 mΩ,107 nC,5.41 ,,,,
IPW60R099C7,https://www.infineon.com/part/IPW60R099C7,https://www.infineon.com/package/PG-TO247-3-41,active,IPW60R099C7XKSA1,PG-TO247-3,TO247,Industrial,600 V,22 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r099c7-ds-en.pdf,3.5 V,3 V,4 V,99 mΩ,42 nC,2.32 ,,,,
IPW60R040C7,https://www.infineon.com/part/IPW60R040C7,https://www.infineon.com/package/PG-TO247-3-44,active,IPW60R040C7XKSA1,PG-TO247-3,TO247,Industrial,600 V,50 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r040c7-ds-en.pdf,3.5 V,3 V,4 V,40 mΩ,107 nC,5.11 ,,,,
IPP60R180C7,https://www.infineon.com/part/IPP60R180C7,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R180C7XKSA1,PG-TO220-3,TO220,Industrial,600 V,13 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r180c7-ds-en.pdf,3.5 V,3 V,4 V,180 mΩ,24 nC,1.03 ,,,,
IPP60R040C7,https://www.infineon.com/part/IPP60R040C7,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R040C7XKSA1,PG-TO220-3,TO220,Industrial,600 V,50 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r040c7-ds-en.pdf,3.5 V,3 V,4 V,40 mΩ,107 nC,4.76 ,,,,
