"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"TK290A60Y","Datasheet","N-ch MOSFET, 600 V, 0.29 Ω@10V, TO-220SIS, DTMOSⅤ","","N-ch","600","+/-30","11.5","35","730","25","","240","2300","","","","","","","","","0.29","","3","N","TO-220SIS","DTMOSⅤ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK290A65Y","Datasheet","N-ch MOSFET, 650 V, 0.29 Ω@10V, TO-220SIS, DTMOSⅤ","","N-ch","650","+/-30","11.5","35","730","25","","240","2300","","","","","","","","","0.29","","3","N","TO-220SIS","DTMOSⅤ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK290P60Y","Datasheet","N-ch MOSFET, 600 V, 0.29 Ω@10V, DPAK, DTMOSⅤ","","N-ch","600","+/-30","11.5","100","730","25","","240","2300","","","","","","","","","0.29","","3","Y","DPAK","DTMOSⅤ","","6.6 x 10.0 x 2.3","66.00","10V Gate Drive"
"TK290P65Y","Datasheet","N-ch MOSFET, 650 V, 0.29 Ω@10V, DPAK, DTMOSⅤ","","N-ch","650","+/-30","11.5","100","730","25","","240","2300","","","","","","","","","0.29","","3","Y","DPAK","DTMOSⅤ","","6.6 x 10.0 x 2.3","66.00","10V Gate Drive"
"TK2A65D","Datasheet","N-ch MOSFET, 650 V, 3.26 Ω@10V, TO-220SIS, π-MOSⅦ","","N-ch","650","+/-30","2.0","30","380","9.0","","700","3500","","","","","","","","","3.26","","3","N","TO-220SIS","π-MOSⅦ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK2K2A60F","Datasheet","N-ch MOSFET, 600 V, 2.2 Ω@10V, TO-220SIS, π-MOSⅨ","","N-ch","600","+/-30","3.5","30","450","13","","600","2900","","","","","","","","","2.2","","3","N","TO-220SIS","π-MOSⅨ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK2P60D","Datasheet","N-ch MOSFET, 600 V, 4.3 Ω@10V, New PW-Mold, π-MOSⅦ","","N-ch","600","+/-30","2.0","60","280","7.0","","","","","","","","","","","","4.3","","3","Y","New PW-Mold","π-MOSⅦ","","6.5 x 9.5 x 2.3","61.75","10V Gate Drive"
"TK2P90E","Datasheet","N-ch MOSFET, 900 V, 5.9 Ω@10V, DPAK, π-MOSⅧ","","N-ch","900","+/-30","2.0","80","500","12","","800","3500","","","","","","","","","5.9","","3","Y","DPAK","π-MOSⅧ","","6.6 x 10.0 x 2.3","66.00","10V Gate Drive"
"TK2Q60D","Datasheet","N-ch MOSFET, 600 V, 4.3 Ω@10V, New PW-Mold2, π-MOSⅦ","","N-ch","600","+/-30","2.0","60","280","7.0","","","","","","","","","","","","4.3","","3","N","New PW-Mold2","π-MOSⅦ","","6.5 x 5.5 x 2.3","35.75","10V Gate Drive"
"TK2R4A08QM","Datasheet","N-ch MOSFET, 80 V, 0.00244 Ω@10V, TO-220SIS, U-MOSⅩ-H","","N-ch","80","+/-20","100","47","13000","179","210","66","100","","","","","","","0.0031","","0.00244","","3","N","TO-220SIS","U-MOSⅩ-H","High-speed switching","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
