Part Number,Datasheet,Stock Check,Status,Configuration,Technology,Type,Package,MSL,AEC-Q,VDS (V),VGS ±(V),ID Max. (A),VGS(th) Min. (V),VGS(th) Typ. (V),VGS(th) Max. (V),RDS(ON) @ 10V Typ. (mΩ),RDS(ON) @ 10V Max. (mΩ),RDS(ON) @ 4.5V Typ. (mΩ),RDS(ON) @ 4.5V Max. (mΩ),Qg (nC) @ 10V,Qg (nC) @ 4.5V,Qgs (nC),Qgd (nC),Ciss (pF),Coss (pF),Crss (pF),TJ Max. (°C),RoHS Compliant,Halogen-Free Standard,Solderability Standard,Terminal Finish,Product Weight(g),Flammability Rating
TSM098NM10CP,https://services.taiwansemi.com/storage/resources/datasheet/TSM098NM10CP_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM098NM10CP/,Active,Single,Trench,N-Channel,TO-252_A,3.0,No,100,20,49.0,2.0,3.0,3.8,7.5,9.8,,,26.0,,6.9,8.0,1535.0,606.0,43.0,150,Yes with exemption 7(a),IEC 61249-2-21,,,0.381,UL 94 V-0
TSM110NM10LCP,https://services.taiwansemi.com/storage/resources/datasheet/TSM110NM10LCP_A2505.pdf,https://www.taiwansemi.com/en/stock-check/TSM110NM10LCP/,Active,Single,Trench,N-Channel,TO-252_A,3.0,No,100,20,47.0,1.2,1.7,2.2,8.3,11.0,11.0,14.0,21.0,,4.8,3.8,1291.0,631.0,43.0,150,Yes with exemption 7(a),IEC 61249-2-21,,,0.381,UL 94 V-0
TSM018NB03CR,https://services.taiwansemi.com/storage/resources/datasheet/TSM018NB03CR_A1910.pdf,https://www.taiwansemi.com/en/stock-check/TSM018NB03CR/,Active,Single,Trench,N-Channel,PDFN56,1.0,No,30,20,194.0,1.0,1.8,2.5,1.4,1.8,2.1,2.8,120.0,62.0,21.0,28.0,7252.0,1056.0,673.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.097,UL 94 V-0
TSM019NH04CR,https://services.taiwansemi.com/storage/resources/datasheet/TSM019NH04CR_E2207.pdf,https://www.taiwansemi.com/en/stock-check/TSM019NH04CR/,Active,Single,PerFETTM,N-Channel,PDFN56U,1.0,No,40,20,100.0,2.4,3.0,3.6,1.3,1.9,,,89.0,,28.0,16.0,6029.0,1218.0,47.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.0935,UL 94 V-0
TSM019NH04LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM019NH04LCR_E2207.pdf,https://www.taiwansemi.com/en/stock-check/TSM019NH04LCR/,Active,Single,PerFETTM,N-Channel,PDFN56U,1.0,No,40,16,100.0,1.4,1.8,2.2,1.3,1.9,1.6,2.7,104.0,49.0,19.0,15.0,6282.0,1204.0,63.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.0935,UL 94 V-0
TSM025NB04CR,https://services.taiwansemi.com/storage/resources/datasheet/TSM025NB04CR_B1804.pdf,https://www.taiwansemi.com/en/stock-check/TSM025NB04CR/,Active,Single,Trench,N-Channel,PDFN56,1.0,No,40,20,161.0,2.0,2.8,4.0,1.8,2.5,,,113.0,,32.0,26.0,7150.0,675.0,332.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.101429,UL 94 V-0
TSM025NB04LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM025NB04LCR_B1804.pdf,https://www.taiwansemi.com/en/stock-check/TSM025NB04LCR/,Active,Single,Trench,N-Channel,PDFN56,1.0,No,40,20,161.0,1.0,1.6,2.5,1.8,2.5,2.4,3.2,112.0,57.0,18.0,27.0,6435.0,675.0,388.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.101429,UL 94 V-0
TSM025NH04CR,https://services.taiwansemi.com/storage/resources/datasheet/TSM025NH04CR_C2207.pdf,https://www.taiwansemi.com/en/stock-check/TSM025NH04CR/,Active,Single,PerFETTM,N-Channel,PDFN56U,1.0,No,40,20,100.0,2.4,3.0,3.6,1.8,2.5,,,59.0,,19.0,11.0,3794.0,785.0,31.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.0935,UL 94 V-0
TSM025NH04LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM025NH04LCR_B2207.pdf,https://www.taiwansemi.com/en/stock-check/TSM025NH04LCR/,Active,Single,PerFETTM,N-Channel,PDFN56U,1.0,No,40,16,100.0,1.4,1.9,2.2,1.8,2.5,2.3,3.5,63.3,29.5,11.8,8.7,4179.0,769.0,43.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.0935,UL 94 V-0
TSM032NH04CR,https://services.taiwansemi.com/storage/resources/datasheet/TSM032NH04CR_D2207.pdf,https://www.taiwansemi.com/en/stock-check/TSM032NH04CR/,Active,Single,PerFETTM,N-Channel,PDFN56U,1.0,No,40,20,81.0,2.4,3.0,3.6,2.7,3.2,,,45.0,,14.0,9.5,2896.0,562.0,32.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.0935,UL 94 V-0
